Rank,Material,Family,Elongation (%),Modulus (MPa),Tensile Strength (MPa),Impact/Tear (MPa),Min Service Temp (°C),Flexibility Score,Cut Resistance Score,Impact Protection Score,Low Temp Score,Total Score (weighted),# Data Fields Available
38,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS)/Nylon Blend, Glass Reinforced",Polymer,101.0,4649.999999999999,80.5,,,0.5439917708824936,0.014715618527020581,0.00048820876160205503,0.3,0.23990944711929935,3
39,"Overview of materials for Nylon 6, Carbon Fiber Filled",Polymer,10.5,69250.0,955.5,,-60.0,0.4126513365921955,0.19938216618718121,0.0061335459679162894,0.22304832713754652,0.238926575927638,4
40,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Sheet",Polymer,98.9,3580.0,28.95,38.400000000000006,,0.5443694708127466,0.007483978191502126,0.00021658739430396447,0.3,0.2378178257207727,4
41,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Extruded",Polymer,76.5,1825.0,48.05,,,0.5355203501187638,0.007294770907357133,0.00027884739892217284,0.3,0.23467632329355886,3
42,"Overview of materials for Polycarbonate/ABS Alloy, Glass Fiber Filled",Polymer,54.8,7705.0,79.0,,,0.5168407778653361,0.018620084378900108,0.0004785310406769449,0.3,0.23157600377467308,3
43,"
Overview of materials for Cellulose Acetate Propionate, Molded",Polymer,60.0,1388.5,8.0,,,0.5278603512892119,0.0022028020256137618,2.0452250221732714e-05,0.3,0.23041605400895265,3
44,"Overview of materials for Epoxy, Cast, Metal Filled",Polymer,65.0,26870.0,29.8795,16.35,,0.4963822202140281,0.03864232377323099,7.432489670484571e-05,0.3,0.23034133918622013,4
45,"Overview of materials for Acetal Copolymer, Silicone Filled",Polymer,46.25,2575.0,75.7,,,0.5194099961113202,0.011408401471055816,0.0004572400546417027,0.3,0.23030746709120714,3
46,"
Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Molded",Polymer,55.7,10988.999999999998,39.5,,,0.5129116267806504,0.018550771495756457,0.0002236843896490452,0.3,0.23012903769988435,3
47,"Thermoplastic Polyurethane, Elastomer, Glass Filled",thermoplastic polyurethane,48.0,3057.82606,61.9149448,,,0.5196403729965318,0.010499865012608607,0.00036830144319981064,0.3,0.2300977503412086,3
48,"Overview of materials for Epoxy, High Temperature",Polymer,25.5,3540.0,179.4,25.865,,0.507758369237319,0.024372563159855226,0.0001357139064397942,0.3,0.23005434096230615,4
49,Overview of materials for Acrylic/Polycarbonate Alloy,Polymer,48.0,2160.0,50.65,,,0.5208374876260107,0.00803422408796539,0.00029562211519236373,0.3,0.2297625123185318,3
50,"Overview of materials for Acrylic, General Purpose, Molded",Polymer,43.0,2370.0,52.15,,,0.518059907184806,0.008483139630749795,0.00030529983611747385,0.3,0.2289269693711305,3
51,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Transparent, Molded",Polymer,40.0,1850.0,43.5,,,0.5172547017626415,0.0068157368389920175,0.00024949164544933885,0.3,0.22813376499771199,3
52,"
Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Heat Resistant, Molded",polymer,36.25,2200.0,41.3,,,0.5149148469314401,0.0070346703954418215,0.0002352976547591773,0.3,0.22737765707558838,3
53,"Overview of materials for Acrylonitrile Butadiene Styrene (ABS), Plating Grade",Polymer,36.5,2235.0,34.0,,,0.5149930586170662,0.006259296979769488,0.0001881994129236414,0.3,0.22716299949248875,3
