Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,Density,elongation_pct,Elongation,strength_mpa,Strength,Score
24,20,Graft Polymer GRAFTALEN MP-UHHD 00850 Melt Processable Ultra-High-Molecular-Weight-Polyethylene based on High Density Polyethylene,,0.945 g/cc,27.1 - 32.9 MPa,335 - 401 %,,,,,,,0.945,0.945g/cc,368.0,368.0%,30.0,30.0MPa,0.4364
25,161,Polypropylene Copolymer,Polymer,0.780 - 2.77 g/cc,5.00 - 128 MPa,1.30 - 1000 %,0.0340 - 9.50 GPa,,,,,,1.775,1.775g/cc,500.65,500.6%,66.5,66.5MPa,0.4289
26,179,"Polypropylene, Extrusion Grade",Polymer,0.886 - 2.00 g/cc,5.78 - 460 MPa,3.0 - 750 %,0.680 - 3.60 GPa,,-30.0 - 2.00 C,,,,1.443,1.443g/cc,376.5,376.5%,232.89,232.9MPa,0.4218
27,185,Polypropylene with 10% Talc Filler,Polymer,0.860 - 1.38 g/cc,2.50 - 105 MPa,4.0 - 700 %,1.00 - 5.10 GPa,,,,,,1.1199999999999999,1.120g/cc,352.0,352.0%,53.75,53.8MPa,0.4214
28,87,Epoxy/Carbon Fiber Composite,Polymer,1.15 - 2.25 g/cc,0.917 - 4140 MPa,0.430 - 11.0 %,2.62 - 520 GPa,6.89 - 590 MPa,-59.0 - 10.0 C,fiber,,,1.7,1.700g/cc,5.715,5.7%,2070.4585,2070.5MPa,0.4194
29,182,"Polypropylene, Sheet/Thermoforming Grade",Polymer,0.900 - 1.13 g/cc,17.9 - 35.9 MPa,7.0 - 640 %,0.280 - 2.05 Gpa,,,,,,1.015,1.015g/cc,323.5,323.5%,26.9,26.9MPa,0.4168
30,186,Polypropylene with 10% Calcium Carbonate (CaCO3) Filler,Polymer,0.900 - 1.09 g/cc,11.0 - 32.1 MPa,2.0 - 545 %,0.900 - 2.07 GPa,,,,,,0.9950000000000001,0.995g/cc,273.5,273.5%,21.55,21.6MPa,0.4010
31,143,"Thermoset Polyurethane, Adhesive",Polymer,0.770 - 3.20 g/cc,0.0392 - 39.3 MPa,9.00 - 874 %,0.0000345 - 1.93 GPa,6.14 - 132 kN/m,-90.0 - -30.0 C,,,,1.985,1.985g/cc,441.5,441.5%,19.6696,19.7MPa,0.3919
32,148,"Silicone Elastomer, for Thermal Management",Polymer,1.10 - 3.18 g/cc,0.248 - 97.0 MPa,0.200 - 925 %,,3.40 - 231 kN/m,-73.3 - -40.0 C,,,,2.14,2.140g/cc,462.6,462.6%,48.624,48.6MPa,0.3909
33,63,ABS/Polyurethane Alloy,Polymer,0.970 - 1.20 g/cc,16.0 - 67.0 MPa,180 - 320 %,0.0827 - 0.745 GPa,,,gloss,,,1.085,1.085g/cc,250.0,250.0%,41.5,41.5MPa,0.3888
34,160,"Polypropylene, Mineral Reinforced",Polymer,0.905 - 3.15 g/cc,6.00 - 75.0 MPa,0.500 - 870 %,0.950 - 8.50 GPa,,,,,,2.0275,2.027g/cc,435.25,435.2%,40.5,40.5MPa,0.3886
35,194,"Thermoplastic Polyurethane (TPUR), Glass Fiber Reinforced",Polymer,1.22 - 1.91 g/cc,14.5 - 1000 MPa,1.0 - 430 %,0.345 - 45.0 GPa,,-30.0 C,,,,1.565,1.565g/cc,215.5,215.5%,507.25,507.2MPa,0.3808
36,90,"Polyetheretherketone, Carbon Fiber Filled",Polymer,1.32 - 1.90 g/cc,0.265 - 2900 MPa,0.300 - 7.00 %,1.00 - 172 GPa,50.0 - 186 MPa,-80.0 - -20.0 C,fiber,,,1.6099999999999999,1.610g/cc,3.65,3.6%,1450.1325,1450.1MPa,0.3780
37,88,Ethylene Vinyl Alcohol (EVOH),Polymer,1.12 - 1.24 g/cc,37.0 - 74.0 MPa,130 - 330 %,1.08 - 3.10 GPa,500 - 1300,,,,,1.1800000000000002,1.180g/cc,230.0,230.0%,55.5,55.5MPa,0.3770
38,33,Nylon 6,Polymer,1.04 - 1.38 g/cc,28.0 - 80.0 MPa,4.50 - 460 %,0.100 - 4.00 GPa,23.0 - 14000,,Flim,,,1.21,1.210g/cc,232.25,232.2%,54.0,54.0MPa,0.3756
39,81,"Epoxy, Molded, Glass Fiber Filler",Polymer,1.11 - 2.20 g/cc,50.0 - 2850 MPa,0.600 - 2.04 %,6.00 - 89.6 GPa,20.0 - 74.0 MPa,,fiber,,,1.6550000000000002,1.655g/cc,1.32,1.3%,1450.0,1450.0MPa,0.3743
40,159,"Polypropylene, Carbon Fiber Filled",Polymer,0.872 - 1.68 g/cc,19.3 - 165 MPa,0.400 - 436 %,1.03 - 27.6 GPa,,,fiber,,,1.276,1.276g/cc,218.2,218.2%,92.15,92.2MPa,0.3695
41,100,"Nylon 6, Film Grade",Polymer,1.04 - 1.38 g/cc,48.0 - 112 MPa,3.50 - 400 %,0.100 - 4.00 GPa,23.0 - 14000,-60.0 C,film,,,1.21,1.210g/cc,201.75,201.8%,80.0,80.0MPa,0.3674
42,77,Methacrylate Adhesive,Polymer,0.500 - 1.50 g/cc,0.0276 - 40.0 MPa,5.00 - 300 %,0.0689 - 1.90 GPa,1.75 - 11.4 kN/m,,,,,1.0,1.000g/cc,152.5,152.5%,20.0138,20.0MPa,0.3603
43,78,Cyanoacrylate Adhesive,Polymer,0.126 - 2.10 g/cc,2.48 - 55.2 MPa,2.00 - 340 %,0.0111 - 2.76 GPa,0.175 - 12.0 kN/m,,,,,1.113,1.113g/cc,171.0,171.0%,28.84,28.8MPa,0.3597
44,163,Polypropylene w/ 50% Calcium Carbonate,Polymer,1.24 - 1.95 g/cc,15.5 - 26.0 MPa,50.0 - 469 %,,,,,,,1.595,1.595g/cc,259.5,259.5%,20.75,20.8MPa,0.3570
45,192,Styrene/Methyl Methacrylate Copolymer (SMMA),Polymer,0.910 - 1.13 g/cc,21.0 - 65.5 MPa,2.0 - 280 %,0.820 - 3.45 GPa,,,,,,1.02,1.020g/cc,141.0,141.0%,43.25,43.2MPa,0.3569
46,124,PETG Copolyester,Polymer,1.18 - 1.37 g/cc,20.0 - 100 MPa,3.20 - 360 %,1.10 - 20.3 GPa,,,fiber,,,1.275,1.275g/cc,181.6,181.6%,60.0,60.0MPa,0.3550
47,127,Polyetherimide (PEI),Polymer,0.0500 - 1.90 g/cc,1.00 - 650 MPa,0.500 - 110 %,0.00280 - 56.0 GPa,37.0 - 147 kN/m,-50.0 - 0.000 C,,,,0.975,0.975g/cc,55.25,55.2%,325.5,325.5MPa,0.3525
48,165,"Polystyrene, Impact Modified",Polymer,0.650 - 2.12 g/cc,12.4 - 240 MPa,1.30 - 350 %,0.155 - 3.47 GPa,,,,,,1.385,1.385g/cc,175.65,175.7%,126.2,126.2MPa,0.3507
49,105,"Nylon 6, Carbon Fiber Filled",Polymer,1.11 - 1.90 g/cc,1.00 - 1910 MPa,1.00 - 20.0 %,3.50 - 135 GPa,,-60.0 C,fiber,,,1.505,1.505g/cc,10.5,10.5%,955.5,955.5MPa,0.3501
50,164,"Polystyrene, Extrusion Grade",Polymer,0.0300 - 1.20 g/cc,0.100 - 53.0 MPa,1.00 - 70.0 %,0.00300 - 3.40 GPa,,-60.0 C,,,,0.615,0.615g/cc,35.5,35.5%,26.55,26.6MPa,0.3471
51,65,"Acetal Copolymer, Impact Modified",Polymer,1.07 - 1.41 g/cc,26.0 - 56.0 MPa,10.0 - 300 %,0.772 - 2.45 GPa,,,,,,1.24,1.240g/cc,155.0,155.0%,41.0,41.0MPa,0.3470
52,55,"Acrylonitrile Butadiene Styrene (ABS), Sheet",Polymer,0.775 - 1.28 g/cc,15.9 - 42.0 MPa,7.80 - 190 %,1.83 - 5.33 GPa,36.7 - 40.1 MPa,,sheet,,,1.0275,1.028g/cc,98.9,98.9%,28.95,28.9MPa,0.3413
53,56,Acrylonitrile Butadiene Styrene (ABS)/Nylon Blend,Polymer,1.04 - 1.21 g/cc,4.00 - 63.8 MPa,3.10 - 230 %,0.900 - 5.30 GPa,,,,,,1.125,1.125g/cc,116.55,116.5%,33.9,33.9MPa,0.3412
54,34,Nylon 66,Polymer,1.09 - 1.15 g/cc,78.0 - 83.0 MPa,40.0 - 170 %,,51.0 - 2040 g,,Flim,,,1.12,1.120g/cc,105.0,105.0%,80.5,80.5MPa,0.3412
55,101,"Nylon 6, Nucleated",Polymer,1.10 - 1.41 g/cc,40.0 - 100 Mpa,3.00 - 240 %,0.400 - 5.70 GPa,32.0 - 286,,,,,1.255,1.255g/cc,121.5,121.5%,70.0,70.0MPa,0.3370
56,64,"Acetal Copolymer, Unreinforced",Polymer,0.950 - 1.71 g/cc,21.0 - 75.8 MPa,1.50 - 250 %,0.586 - 11.7 GPa,40.0 - 55.2 MPa,,,,,1.33,1.330g/cc,125.75,125.8%,48.4,48.4MPa,0.3319
57,39,"Acrylonitrile Butadiene Styrene (ABS), Extruded",Polymer,1.01 - 1.20 g/cc,22.1 - 74.0 MPa,3.00 - 150 %,1.00 - 2.65 GPa,,,,,,1.105,1.105g/cc,76.5,76.5%,48.05,48.0MPa,0.3302
58,19,CENTROPLAST CENTROLEN PE-UHMW Ultra-high molecular weight polyethylene,,0.940 g/cc,20.0 MPa,>= 50 %,0.800 GPa,,-200 C,,,,0.94,0.940g/cc,50.0,50.0%,20.0,20.0MPa,0.3301
59,57,"Acrylonitrile Butadiene Styrene (ABS)/Nylon Blend, Glass Reinforced",Polymer,1.06 - 1.53 g/cc,31.0 - 130 MPa,2.00 - 200 %,1.20 - 8.10 GPa,,,,,,1.295,1.295g/cc,101.0,101.0%,80.5,80.5MPa,0.3284
60,118,Polycarbonate/PET Polyester Blend,Polymer,1.12 - 1.47 g/cc,36.0 - 108 MPa,2.10 - 200 %,1.16 - 7.65 GPa,,-40.0 C,fiber,,,1.295,1.295g/cc,101.05,101.0%,72.0,72.0MPa,0.3277
61,69,"Acrylic, General Purpose, Molded",Polymer,0.700 - 1.30 g/cc,19.3 - 85.0 MPa,1.00 - 85.0 %,0.950 - 3.79 GPa,,,Acrylic,,,1.0,1.000g/cc,43.0,43.0%,52.15,52.1MPa,0.3263
62,116,"Polycarbonate, Carbon Fiber Reinforced",Polymer,1.21 - 1.75 g/cc,56.0 - 450 MPa,65.0 - 115 MPa,2.14 - 48.0 GPa,,-40.0 C,fiber,,,1.48,1.480g/cc,90.0,90.0%,253.0,253.0MPa,0.3255
63,138,"Polyphthalamide (PPA), Carbon Fiber",Polymer,1.20 - 1.65 g/cc,135 - 1040 MPa,0.500 - 4.00 %,10.0 - 102 GPa,,,,,,1.4249999999999998,1.425g/cc,2.25,2.2%,587.5,587.5MPa,0.3250
64,181,Polypropylene with Carbon Black Filler,Polymer,0.947 - 1.43 g/cc,16.5 - 58.6 MPa,2.0 - 150 %,0.483 - 5.52 Gpa,,,,,,1.1885,1.188g/cc,76.0,76.0%,37.55,37.5MPa,0.3238
65,119,Polydicyclopentadiene (PDCPD),Polymer,0.980 - 1.20 g/cc,35.0 - 76.0 MPa,11.0 - 75.0 %,1.40 - 2.57 GPa,49.5 - 76.0 MPa,,,,,1.0899999999999999,1.090g/cc,43.0,43.0%,55.5,55.5MPa,0.3206
66,142,Styrenic Elastomer (TES),Polymer,0.400 - 11.0 g/cc,0.138 - 80.0 MPa,3.50 - 1900 %,0.00105 - 54.0 GPa,2.94 - 113 kN/m,-60.0 - -30.0 C,,,,5.7,5.700g/cc,951.75,951.8%,40.069,40.1MPa,0.3197
67,155,Polyphenylene Ether + Styrene-Butadiene Blend,Polymer,1.06 - 1.10 g/cc,50.0 - 80.0 MPa,20.0 - 50.0 %,2.20 - 2.80 GPa,,,,,,1.08,1.080g/cc,35.0,35.0%,65.0,65.0MPa,0.3193
68,137,"Polyphthalamide (PPA), High Impact",polymer,1.11 - 1.15 g/cc,55.0 - 83.4 MPa,7.00 - 80.0 %,1.90 - 2.76 GPa,,,,,,1.13,1.130g/cc,43.5,43.5%,69.2,69.2MPa,0.3192
