Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,Density,elongation_pct,Elongation,strength_mpa,Strength,Score
99,157,"Polyphthalamide (PPA), Aramid Fiber",Polymer,1.21 - 1.38 g/cc,51.7 - 241 MPa,1.00 - 3.50 %,3.50 - 24.1 GPa,,,,,,1.295,1.295g/cc,2.25,2.2%,146.35,146.3MPa,0.3004
100,184,"Polypropylene, Wood Filled",Polymer,0.938 - 1.45 g/cc,20.0 - 66.0 MPa,1.2 - 10 %,1.72 - 6.20 GPa,,,,,,1.194,1.194g/cc,5.6,5.6%,43.0,43.0MPa,0.3004
101,189,"Polystyrene + Polyphenylene Ether, Glass Filler",Polymer,1.14 - 1.45 g/cc,60.0 - 148 MPa,1.0 - 20 %,3.80 - 10.6 GPa,,,,,,1.295,1.295g/cc,10.5,10.5%,104.0,104.0MPa,0.3000
102,103,"Nylon 6, 20% Mineral Filled",Polymer,1.05 - 1.66 g/cc,33.0 - 140 MPa,0.900 - 50.0 %,1.10 - 6.25 GPa,,,,,,1.355,1.355g/cc,25.45,25.4%,86.5,86.5MPa,0.2997
103,42,"Acrylonitrile Butadiene Styrene (ABS), Glass Fiber Filled, Flame Retardant",Polymer,1.13 - 1.48 g/cc,35.0 - 85.0 MPa,1.50 - 40.0 %,3.10 - 9.65 GPa,,,,,,1.305,1.305g/cc,20.75,20.8%,60.0,60.0MPa,0.2995
104,43,"Acrylonitrile Butadiene Styrene (ABS), 10% Glass Fiber Filled",Polymer,1.06 - 1.40 g/cc,28.0 - 88.3 MPa,2.00 - 10.0 %,2.50 - 5.88 GPa,,,,,,1.23,1.230g/cc,6.0,6.0%,58.15,58.1MPa,0.2993
105,50,"Acrylonitrile Butadiene Styrene (ABS), 30% Carbon Fiber Filled",Polymer,1.15 - 1.38 g/cc,88.3 - 124 MPa,1.00 - 3.00 %,17.2 - 19.3 GPa,,,,,,1.265,1.265g/cc,2.0,2.0%,106.15,106.2MPa,0.2993
106,66,"Acetal Copolymer, Silicone Filled",Polymer,1.29 - 1.62 g/cc,41.4 - 110 MPa,2.50 - 90.0 %,2.25 - 2.90 GPa,,,silicone,,,1.455,1.455g/cc,46.25,46.2%,75.7,75.7MPa,0.2993
107,47,"Acrylonitrile Butadiene Styrene (ABS), Glass Bead Filled",Polymer,1.06 - 1.38 g/cc,27.6 - 41.4 MPa,1.70 - 15.0 %,2.21 - 3.45 GPa,,,,,,1.22,1.220g/cc,8.35,8.3%,34.5,34.5MPa,0.2990
108,76,"Acrylic/Polycarbonate Alloy, Carbon Fiber Filler",Polymer,1.21 - 1.36 g/cc,93.1 - 145 MPa,1.20 - 2.30 %,7.65 - 24.1 GPa,,,fiber,,,1.2850000000000001,1.285g/cc,1.75,1.8%,119.05,119.0MPa,0.2989
109,60,"Polycarbonate/ABS Alloy, Carbon Fiber Filled",Polymer,1.17 - 1.40 g/cc,67.6 - 165 MPa,0.500 - 4.00 %,4.61 - 16.5 GPa,,,,,,1.285,1.285g/cc,2.25,2.2%,116.3,116.3MPa,0.2988
110,117,"Polycarbonate, Aramid Fiber Reinforced",Polymer,1.21 - 1.32 g/cc,58.6 - 72.4 MPa,4.00 - 12.0 %,2.41 - 3.65 GPa,,,fiber,,,1.2650000000000001,1.265g/cc,8.0,8.0%,65.5,65.5MPa,0.2983
111,92,"Polyaryletherketone (PAEK), Carbon Fiber Filled",Polymer,1.33 - 1.51 g/cc,95.0 - 262 MPa,0.800 - 25.0 %,2.96 - 55.8 GPa,,,fiber,,,1.42,1.420g/cc,12.9,12.9%,178.5,178.5MPa,0.2982
112,135,"Polyphenylene Ether, Mineral Filled",Polymer,1.09 - 1.62 g/cc,50.0 - 74.1 MPa,2.00 - 50.0 %,2.90 - 5.20 GPa,,,,,,1.355,1.355g/cc,26.0,26.0%,62.05,62.0MPa,0.2981
113,2,"Thermoplastic Polyurethane, Elastomer, Glass Filled",thermoplastic polyurethane,0.0462 - 0.0600 lb/in3,4060 - 13900 psi,10.0 - 86.0 %,90.0 - 797 ksi,,,,,,1.4698026899999999,1.470g/cc,48.0,48.0%,61.9149448,61.9MPa,0.2979
114,162,Polypropylene with 40% Mica Filler,Polymer,1.17 - 1.27 g/cc,14.0 - 40.2 MPa,3.00 - 10.0 %,2.50 - 4.83 GPa,,,,,,1.22,1.220g/cc,6.5,6.5%,27.1,27.1MPa,0.2978
115,68,"Acetal Copolymer, Aramid Fiber Filled",Polymer,1.01 - 1.52 g/cc,45.0 - 82.7 MPa,2.00 - 12.0 %,2.70 - 4.83 GPa,,,,,,1.2650000000000001,1.265g/cc,7.0,7.0%,63.85,63.9MPa,0.2978
116,102,"Nylon 6, PTFE Filled",Polymer,1.16 - 1.49 g/cc,18.0 - 150 MPa,2.00 - 25.0 %,2.40 - 9.10 GPa,,,,,,1.325,1.325g/cc,13.5,13.5%,84.0,84.0MPa,0.2975
117,108,"Nylon 66, Carbon Fiber/PTFE Filled",Polymer,1.17 - 1.54 g/cc,75.8 - 241 MPa,0.900 - 4.00 %,3.45 - 32.4 GPa,,,fiber,,,1.355,1.355g/cc,2.45,2.5%,158.4,158.4MPa,0.2975
118,44,"Acrylonitrile Butadiene Styrene (ABS), 20% Glass Fiber Filled",Polymer,1.10 - 1.45 g/cc,35.0 - 108 MPa,1.00 - 11.0 %,3.50 - 12.2 GPa,,,,,,1.275,1.275g/cc,6.0,6.0%,71.5,71.5MPa,0.2974
119,188,Syndiotactic Polystyrene (SPS) with Glass or Carbon Fiber,Polymer,1.08 - 1.54 g/cc,65.5 - 175 MPa,0.60 - 3.0 %,4.14 - 24.1 GPa,,,,,,1.31,1.310g/cc,1.8,1.8%,120.25,120.2MPa,0.2973
120,104,"Nylon 6, Mineral Reinforced, Impact Grade",Polymer,1.17 - 1.55 g/cc,30.0 - 100 MPa,2.00 - 45.0 %,1.40 - 5.17 GPa,,,,,,1.3599999999999999,1.360g/cc,23.5,23.5%,65.0,65.0MPa,0.2971
121,61,"Polycarbonate/ABS Alloy, NCG Fiber Filled",Polymer,1.18 - 1.45 g/cc,62.1 - 153 MPa,0.500 - 5.00 %,4.48 - 17.9 GPa,,,,,,1.315,1.315g/cc,2.75,2.8%,107.55,107.5MPa,0.2964
122,98,"Nylon 6, Unreinforced",Polymer,0.670 - 4.50 g/cc,10.0 - 225 MPa,0.400 - 500 %,0.210 - 17.0 GPa,55.2 - 75.0 MPa,-60.0 - -10.0 C,fiber,,,2.585,2.585g/cc,250.2,250.2%,117.5,117.5MPa,0.2962
123,52,"Acrylonitrile Butadiene Styrene (ABS), Stainless Steel Fiber Filled",Polymer,1.00 - 1.51 g/cc,27.6 - 45.0 MPa,1.00 - 10.0 %,2.28 - 3.10 GPa,,,,,,1.255,1.255g/cc,5.5,5.5%,36.3,36.3MPa,0.2959
124,129,"Polyethersulfone, Carbon Fiber Reinforced",Polymer,1.36 - 1.57 g/cc,103 - 325 MPa,1.00 - 12.0 %,2.40 - 36.6 GPa,,,,,,1.465,1.465g/cc,6.5,6.5%,214.0,214.0MPa,0.2958
125,54,"Acrylonitrile Butadiene Styrene (ABS), NCG Fiber Filled",Polymer,1.07 - 1.51 g/cc,44.8 - 121 MPa,1.00 - 2.00 %,5.17 - 17.9 GPa,,,,,,1.29,1.290g/cc,1.5,1.5%,82.9,82.9MPa,0.2958
126,109,"Nylon 66, Mineral Filled, Impact Grade",Polymer,1.22 - 1.48 g/cc,49.6 - 124 MPa,2.50 - 18.0 %,3.25 - 7.24 GPa,,,film,,,1.35,1.350g/cc,10.25,10.2%,86.8,86.8MPa,0.2950
127,139,"Polyphthalamide (PPA), Carbon Fiber + PTFE Filled",Polymer,1.27 - 1.58 g/cc,100 - 276 MPa,1.00 - 3.00 %,10.0 - 29.3 GPa,,,,,,1.425,1.425g/cc,2.0,2.0%,188.0,188.0MPa,0.2950
128,136,Polyphenylene Sulfide (PPS) with Carbon Fiber + PTFE Filler,Polymer,1.08 - 1.62 g/cc,53.0 - 180 MPa,0.000 - 2.00 %,4.60 - 34.5 GPa,,,,,,1.35,1.350g/cc,1.0,1.0%,116.5,116.5MPa,0.2942
129,62,"Polycarbonate/ABS Alloy, Antistat/Conductive",Polymer,1.14 - 1.53 g/cc,37.9 - 124 MPa,1.00 - 10.0 %,1.72 - 12.4 GPa,,,,,,1.335,1.335g/cc,5.5,5.5%,80.95,81.0MPa,0.2940
130,46,"Acrylonitrile Butadiene Styrene (ABS), 30% Glass Fiber Filled",Polymer,1.17 - 1.50 g/cc,39.0 - 120 MPa,1.00 - 6.00 %,12.8 - 185 MPa,,,,,,1.335,1.335g/cc,3.5,3.5%,79.5,79.5MPa,0.2932
131,7,BASF Elastollan® 1154 D FHF TPUR Flame Retardant Halogen Free,,1.27 g/cc,20.0 MPa,4,,110 kN/m,160 - 220 C,,,,1.27,1.270g/cc,4.0,4.0%,20.0,20.0MPa,0.2932
132,9,BASF Elastollan® R 1001 10% Glass Filled TPUR,,1.27 g/cc,30.0 MPa,0.65,,,225 - 245 C,,,,1.27,1.270g/cc,0.65,0.7%,30.0,30.0MPa,0.2928
133,91,"Polyetheretherketone, PEEK, Aramid Fiber Filled",Polymer,1.31 - 1.50 g/cc,75.0 - 193 MPa,1.00 - 6.00 %,4.00 - 20.7 GPa,,,,,,1.405,1.405g/cc,3.5,3.5%,134.0,134.0MPa,0.2927
134,45,"Acrylonitrile Butadiene Styrene (ABS), 40% Glass Fiber Filled",Polymer,1.32 - 1.38 g/cc,64.0 - 101 MPa,1.00 - 4.00 %,5.30 - 11.0 GPa,,,,,,1.35,1.350g/cc,2.5,2.5%,82.5,82.5MPa,0.2921
135,122,"Polybutylene Terephthalate (PBT), Carbon Fiber Filled",Polymer,1.30 - 1.57 g/cc,82.7 - 220 MPa,0.500 - 6.00 %,6.21 - 40.0 GPa,,,fiber,,,1.435,1.435g/cc,3.25,3.2%,151.35,151.3MPa,0.2920
136,115,"Polycarbonate, Glass Fiber & Bead Filled",Polymer,1.26 - 1.42 g/cc,53.4 - 86.0 MPa,1.00 - 3.00 %,3.80 - 5.20 GPa,,,,,,1.3399999999999999,1.340g/cc,2.0,2.0%,69.7,69.7MPa,0.2917
137,67,"Acetal Copolymer, Carbon Fiber Filled",Polymer,1.40 - 1.58 g/cc,65.0 - 217 MPa,0.600 - 25.0 %,2.40 - 23.4 GPa,,,fiber,,,1.49,1.490g/cc,12.8,12.8%,141.0,141.0MPa,0.2908
138,123,"Polybutylene Terephthalate (PBT), Aramid Fiber Filled",Polymer,1.32 - 1.46 g/cc,58.6 - 103 MPa,3.00 - 8.00 %,3.45 - 5.86 GPa,,,fiber,,,1.3900000000000001,1.390g/cc,5.5,5.5%,80.8,80.8MPa,0.2904
139,10,BASF Elastollan® R 2005/1 20% Glass Filled TPUR,,1.35 g/cc,65.0 MPa,0.2,1.90 GPa,,225 - 245 C,,,,1.35,1.350g/cc,0.2,0.2%,65.0,65.0MPa,0.2900
140,97,"Nylon 46, Glass Fiber Reinforced",Polymer,1.17 - 1.87 g/cc,60.0 - 280 MPa,1.30 - 15.0 %,1.00 - 25.5 GPa,,,fiber,,,1.52,1.520g/cc,8.15,8.2%,170.0,170.0MPa,0.2894
141,121,"Polybutylene Terephthalate (PBT), Glass Fiber Filled, Flame Retardant",Polymer,1.27 - 1.76 g/cc,15.0 - 154 Mpa,0.900 - 50.0 %,0.765 - 21.2 GPa,,,fiber,,,1.5150000000000001,1.515g/cc,25.45,25.4%,84.5,84.5MPa,0.2891
142,120,"Polybutylene Terephthalate (PBT), Glass Fiber Filled, Flame Retardant",Polymer,1.27 - 1.76 g/cc,15.0 - 154 MPa,0.900 - 50.0 %,0.765 - 21.2 GPa,,,,,,1.5150000000000001,1.515g/cc,25.45,25.4%,84.5,84.5MPa,0.2891
143,177,"Polyphenylene Sulfide (PPS), Aramid Fiber",Polymer,1.25 - 1.56 g/cc,45.0 - 134 MPa,1.0 - 4.0 %,3.80 - 22.8 GPa,,,,,,1.405,1.405g/cc,2.5,2.5%,89.5,89.5MPa,0.2890
144,84,"Epoxy, High Temperature",Polymer,0.990 - 2.26 g/cc,13.8 - 345 MPa,1.00 - 50.0 %,1.68 - 5.40 GPa,4.83 - 46.9 MPa,,,,,1.625,1.625g/cc,25.5,25.5%,179.4,179.4MPa,0.2890
145,172,"Polyphenylene Sulfide (PPS) Alloy, Glass Reinforced, Flow Enhanced",Polymer,1.29 - 1.70 g/cc,112 - 195 MPa,1.4 - 5.0 %,9.30 - 22.0 GPa,,,,,,1.495,1.495g/cc,3.2,3.2%,153.5,153.5MPa,0.2882
146,176,"Polyphthalamide (PPA), 10% Glass Fiber Reinforced",Polymer,1.26 - 1.61 g/cc,89.6 - 120 MPa,1.0 - 3.0 %,5.52 - 9.17 Gpa,,,,,,1.435,1.435g/cc,2.0,2.0%,104.8,104.8MPa,0.2881
147,170,"umitomo Bakelite Durez® 31735 Phenolic, Compression Grade",Polymer,1.43 g/cc,55.0 MPa,1.29 - 1.43 g/cc,2.60 - 6.21 Gpa,,-50.0 - -20.0 C,,,,1.43,1.430g/cc,1.3599999999999999,1.4%,55.0,55.0MPa,0.2844
148,197,"Polyester Thermoplastic Elastomer, Glass Filled",Polymer,1.02 - 2.00 g/cc,12.4 - 150 MPa,1.8 - 18 %,0.414 - 7.66 GPa,,,,,,1.51,1.510g/cc,9.9,9.9%,81.2,81.2MPa,0.2840
149,196,"Polysulfone, 30% Glass Fiber Reinforced",Polymer,1.46 - 1.60 g/cc,96.5 - 121 MPa,1.7 - 3.0 %,8.00 - 9.00 GPa,,,,,,1.53,1.530g/cc,2.35,2.4%,108.75,108.8MPa,0.2822
150,86,Epoxy Adhesive,Polymer,0.137 - 4.80 g/cc,0.276 - 766 MPa,0.000 - 250 %,0.0345 - 59.1 GPa,0.172 - 138 Mpa,-269 - -20.0 C,,,,2.4684999999999997,2.468g/cc,125.0,125.0%,383.138,383.1MPa,0.2821
151,174,verview of materials for Polyphenylene Sulfide (PPS) with 40% Carbon Fiber Filler,Polymer,1.48 - 1.74 g/cc,77.2 - 234 MPa,0.00 - 2.0 %,12.4 - 45.0 GPa,,,,,,1.6099999999999999,1.610g/cc,1.0,1.0%,155.6,155.6MPa,0.2801
152,156,Polyphenylene Sulfide (PPS) with PTFE Filler,Polymer,1.42 - 2.03 g/cc,11.0 - 160 MPa,0.500 - 68.0 %,1.65 - 15.0 GPa,,,,,,1.7249999999999999,1.725g/cc,34.25,34.2%,85.5,85.5MPa,0.2783
153,173,Polyphenylene Sulfide (PPS) with 10% Glass Fiber Filler,Polymer,1.38 - 2.06 g/cc,34.5 - 375 MPa,0.80 - 3.5 %,4.83 - 21.0 GPa,,,,,,1.72,1.720g/cc,2.15,2.1%,204.75,204.8MPa,0.2769
154,113,"Phenolic, Ablative Coating",Polymer,1.25 - 1.85 g/cc,4.30 - 40.4 MPa,0.660 - 12.5 %,,,,coating,,,1.55,1.550g/cc,6.58,6.6%,22.349999999999998,22.3MPa,0.2759
155,178,"Polyphthalamide (PPA), 50% Glass Fiber Reinforce",Polymer,1.45 - 1.99 g/cc,70.0 - 295 MPa,0.60 - 3.2 %,10.3 - 22.1 GPa,,,,,,1.72,1.720g/cc,1.9000000000000001,1.9%,182.5,182.5MPa,0.2752
156,40,"Acrylonitrile Butadiene Styrene (ABS), Plating Grade",Polymer,1.03 - 2.50 g/cc,20.0 - 48.0 MPa,3.00 - 70.0 %,1.70 - 2.77 GPa,,,,,,1.7650000000000001,1.765g/cc,36.5,36.5%,34.0,34.0MPa,0.2726
157,95,"Liquid Crystal Polymer (LCP), Mineral Filled",Polymer,1.52 - 1.89 g/cc,76.0 - 175 MPa,1.20 - 5.50 %,7.03 - 22.0 GPa,,,,,,1.705,1.705g/cc,3.35,3.4%,125.5,125.5MPa,0.2724
158,93,"Liquid Crystal Polymer (LCP), Unfilled",Polymer,1.38 - 2.02 g/cc,32.0 - 182 MPa,0.600 - 4.10 %,7.10 - 18.0 GPa,,,fiber,,,1.7,1.700g/cc,2.3499999999999996,2.3%,107.0,107.0MPa,0.2710
159,96,Melamine-Phenolic Copolymer,Polymer,1.50 - 1.81 g/cc,53.0 - 76.0 MPa,0.470 - 0.950 %,5.00 - 13.3 GPa,,,,,,1.655,1.655g/cc,0.71,0.7%,64.5,64.5MPa,0.2702
160,83,"Epoxy, Cast, Metal Filled",Polymer,0.959 - 3.12 g/cc,0.159 - 59.6 MPa,0.000 - 130 %,4.14 - 49.6 GPa,1.70 - 31.0 MPa,,,,,2.0395,2.039g/cc,65.0,65.0%,29.8795,29.9MPa,0.2638
161,166,Expanded Polystyrene (EPS),Polymer,0.00310 - 3.50 g/cc,0.0800 - 1.10 MPa,5.00 - 13.4 %,0.00650 - 2.65 GPa,,,,,,1.75155,1.752g/cc,9.2,9.2%,0.5900000000000001,0.6MPa,0.2619
162,126,"Thermoset Polyester, Mineral Filled",Polymer,1.59 - 2.08 g/cc,24.1 - 79.3 MPa,0.410 - 1.11 %,9.90 - 21.3 GPa,,,,,,1.835,1.835g/cc,0.76,0.8%,51.7,51.7MPa,0.2574
163,35,"Acrylonitrile Butadiene Styrene (ABS), Molded",Polymer,0.882 - 3.50 g/cc,2.00 - 77.0 Mpa,1.40 - 110 %,0.778 - 21.2 Gpa,,,,,,2.191,2.191g/cc,55.7,55.7%,39.5,39.5MPa,0.2515
164,25,"COI Ceramics Sylramic S400 Silicon Carbide Ceramic Matrix Composite, Carbon",,2.10 g/cc,5.52 MPa,0.0053,110 GPa,27.6 MPa,,Fiber,,,2.1,2.100g/cc,0.0053,0.0%,5.52,5.5MPa,0.2364
165,37,"Acrylonitrile Butadiene Styrene (ABS), Impact Grade, Molded",Polymer,1.00 - 3.50 g/cc,24.0 - 138 MPa,2.00 - 12.0 %,1.40 - 5.33 GPa,,,,,,2.25,2.250g/cc,7.0,7.0%,81.0,81.0MPa,0.2345
166,175,"Polyphenylene Sulfide (PPS), Conductive",Polymer,1.29 - 3.70 g/cc,0.30 - 100 %,0.30 - 100 %,11.0 - 26.2 GPa,,,,,,2.495,2.495g/cc,50.15,50.1%,50.15,50.1MPa,0.2305
167,158,"Polyphthalamide (PPA), Stainless Fiber, EMI",Polymer,1.19 - 3.80 g/cc,52.0 - 159 MPa,0.600 - 6.00 %,2.90 - 12.4 GPa,,,,,,2.495,2.495g/cc,3.3,3.3%,105.5,105.5MPa,0.2191
168,85,"Epoxy, Electrically Conductive",Polymer,0.940 - 5.30 g/cc,13.8 - 55.2 MPa,0.200 - 55.0 %,0.146 - 7.87 GPa,4.48 - 68.9 MPa,-269 - -20.0 C,,,,3.12,3.120g/cc,27.6,27.6%,34.5,34.5MPa,0.1809
