No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes
44,"Acrylonitrile Butadiene Styrene (ABS), 20% Glass Fiber Filled",Polymer,1.10 - 1.45 g/cc ,35.0 - 108 MPa,1.00 - 11.0 %,3.50 - 12.2 GPa,,,,,
45,"Acrylonitrile Butadiene Styrene (ABS), 40% Glass Fiber Filled",Polymer,1.32 - 1.38 g/cc,64.0 - 101 MPa,1.00 - 4.00 %,5.30 - 11.0 GPa,,,,,
46,"Acrylonitrile Butadiene Styrene (ABS), 30% Glass Fiber Filled",Polymer,1.17 - 1.50 g/cc,39.0 - 120 MPa ,1.00 - 6.00 % ,12.8 - 185 MPa,,,,,
47,"Acrylonitrile Butadiene Styrene (ABS), Glass Bead Filled",Polymer,1.06 - 1.38 g/cc,27.6 - 41.4 MPa,1.70 - 15.0 %,2.21 - 3.45 GPa,,,,,
48,"Acrylonitrile Butadiene Styrene (ABS), 10% Carbon Fiber Filled",Polymer,1.07 - 1.26 g/cc,48.3 - 103 MPa,0.700 - 10.0 %,3.45 - 11.7 GPa ,,,,,
49,"Acrylonitrile Butadiene Styrene (ABS), 20% Carbon Fiber Filled",Polymer,1.10 - 1.30 g/cc,75.0 - 150 MPa,1.00 - 2.00 %,10.0 - 13.8 GPa,,,,,
50,"Acrylonitrile Butadiene Styrene (ABS), 30% Carbon Fiber Filled",Polymer,1.15 - 1.38 g/cc,88.3 - 124 MPa,1.00 - 3.00 %,17.2 - 19.3 GPa,,,,,
51,"Acrylonitrile Butadiene Styrene (ABS), PTFE Filled",Polymer,1.05 - 1.32 g/cc,34.5 - 44.8 MPa,2.00 - 25.0 %,,,,,,
52,"Acrylonitrile Butadiene Styrene (ABS), Stainless Steel Fiber Filled",Polymer,1.00 - 1.51 g/cc,27.6 - 45.0 MPa,1.00 - 10.0 %,2.28 - 3.10 GPa,,,,,
53,"Acrylonitrile Butadiene Styrene (ABS), Carbon Black Filled",Polymer,1.03 - 1.14 g/cc,,2.00 - 11.0 %,,,,,,
54,"Acrylonitrile Butadiene Styrene (ABS), NCG Fiber Filled",Polymer,1.07 - 1.51 g/cc,44.8 - 121 MPa,1.00 - 2.00 %,5.17 - 17.9 GPa,,,,,
55,"Acrylonitrile Butadiene Styrene (ABS), Sheet",Polymer,0.775 - 1.28 g/cc,15.9 - 42.0 MPa,7.80 - 190 %,1.83 - 5.33 GPa,36.7 - 40.1 MPa,,sheet,,
56,Acrylonitrile Butadiene Styrene (ABS)/Nylon Blend,Polymer,1.04 - 1.21 g/cc,4.00 - 63.8 MPa,3.10 - 230 %,0.900 - 5.30 GPa,,,,,
