Rank,No,MaterialName,Family,density,tensile strength,elongation at break,modulus if available,"tear or impact related values if available,",minimum service temperature if available,"form availability: film, fiber, sheet, coating, fabric","first impression: impact layer candidate, cut layer candidate, or hybrid layer candidate",Notes,density_gcc,elongation_pct,strength_mpa,Score
104,43,"Acrylonitrile Butadiene Styrene (ABS), 10% Glass Fiber Filled",Polymer,1.06 - 1.40 g/cc,28.0 - 88.3 MPa,2.00 - 10.0 %,2.50 - 5.88 GPa,,,,,,1.23,6.0,58.15,0.29933096688783906
105,50,"Acrylonitrile Butadiene Styrene (ABS), 30% Carbon Fiber Filled",Polymer,1.15 - 1.38 g/cc,88.3 - 124 MPa,1.00 - 3.00 %,17.2 - 19.3 GPa,,,,,,1.265,2.0,106.15,0.2993053216857056
106,66,"Acetal Copolymer, Silicone Filled",Polymer,1.29 - 1.62 g/cc,41.4 - 110 MPa,2.50 - 90.0 %,2.25 - 2.90 GPa,,,silicone,,,1.455,46.25,75.7,0.29929460725679824
107,47,"Acrylonitrile Butadiene Styrene (ABS), Glass Bead Filled",Polymer,1.06 - 1.38 g/cc,27.6 - 41.4 MPa,1.70 - 15.0 %,2.21 - 3.45 GPa,,,,,,1.22,8.35,34.5,0.29899489015304165
108,76,"Acrylic/Polycarbonate Alloy, Carbon Fiber Filler",Polymer,1.21 - 1.36 g/cc,93.1 - 145 MPa,1.20 - 2.30 %,7.65 - 24.1 GPa,,,fiber,,,1.2850000000000001,1.75,119.05,0.29887857466415607
109,60,"Polycarbonate/ABS Alloy, Carbon Fiber Filled",Polymer,1.17 - 1.40 g/cc,67.6 - 165 MPa,0.500 - 4.00 %,4.61 - 16.5 GPa,,,,,,1.285,2.25,116.3,0.2988387409875051
110,117,"Polycarbonate, Aramid Fiber Reinforced",Polymer,1.21 - 1.32 g/cc,58.6 - 72.4 MPa,4.00 - 12.0 %,2.41 - 3.65 GPa,,,fiber,,,1.2650000000000001,8.0,65.5,0.29825356311929746
111,92,"Polyaryletherketone (PAEK), Carbon Fiber Filled",Polymer,1.33 - 1.51 g/cc,95.0 - 262 MPa,0.800 - 25.0 %,2.96 - 55.8 GPa,,,fiber,,,1.42,12.9,178.5,0.2981989213537291
112,135,"Polyphenylene Ether, Mineral Filled",Polymer,1.09 - 1.62 g/cc,50.0 - 74.1 MPa,2.00 - 50.0 %,2.90 - 5.20 GPa,,,,,,1.355,26.0,62.05,0.2980861512839824
113,2,"Thermoplastic Polyurethane, Elastomer, Glass Filled",thermoplastic polyurethane,0.0462 - 0.0600 lb/in3,4060 - 13900 psi,10.0 - 86.0 %,90.0 - 797 ksi,,,,,,1.4698026899999999,48.0,61.9149448,0.29787283278130494
114,162,Polypropylene with 40% Mica Filler,Polymer,1.17 - 1.27 g/cc,14.0 - 40.2 MPa,3.00 - 10.0 %,2.50 - 4.83 GPa,,,,,,1.22,6.5,27.1,0.2978241395411022
